pdbname,cluster,subcluster
2xwm,0,0
6npc,1,0
5a0l,2,0
3bx7,3,0
5ac7,4,0
4a3q,5,0
4msv,6,0
1ia9,7,0
4mbg,8,0
2osv,9,0
3nu8,10,0
6u1p,11,0
3zn6,12,0
5eo6,13,0
5vgb,14,0
6ddl,15,0
1xg2,16,0
4njm,17,0
4tsh,18,0
5d1p,19,0
5xsw,20,0
5mza,21,0
4jis,22,0
5oec,23,0
6oxj,24,0
1ab8,25,0
1wls,26,0
5ynm,27,0
5ucd,28,0
4frf,29,0
6tts,30,0
1mki,31,0
3vmf,32,0
5e2c,33,0
3tn4,34,0
6upq,35,0
1clv,36,0
5x7n,37,0
3pzd,38,0
4ee7,39,0
5txr,40,0
5fmo,41,0
1cgj,42,0
1acb,42,0
4o60,43,0
2hdw,44,0
6ae2,45,0
5tgs,46,0
3bmz,47,0
5m0t,48,0
1avw,49,0
6j1o,50,0
2j5v,51,0
6yx1,52,0
5oho,53,0
1dle,54,0
2a6t,55,0
3aay,56,0
6kd9,57,0
3idf,58,0
4rzb,59,0
6lyi,60,0
4ct5,61,0
3bil,62,0
1cy9,63,0
1ups,64,0
3aey,65,0
4mhv,66,0
1chm,67,0
3k1r,68,0
1ixb,69,0
2fco,70,0
4cpy,71,0
6fpt,72,0
2w4e,73,0
5m8b,74,0
4cvq,75,0
5d04,76,0
6xtu,77,0
6ncs,78,0
4ww7,79,0
3foc,80,0
1yun,81,0
1w2y,82,0
4x9b,83,0
3h6g,84,0
3irb,85,0
6edi,86,0
1lwj,87,0
4w5u,88,0
4g65,89,0
6a0e,90,0
3sr3,91,0
4iy4,92,0
7aac,93,0
6pkc,94,0
6ux9,95,0
6ky6,96,0
1m1f,97,0
4s3l,98,0
7lg9,99,0
2bhl,100,0
5d3o,101,0
1xhk,102,0
3ww3,103,0
3a3d,104,0
1p5v,105,0
5bq9,106,0
6aae,107,0
2ob3,108,0
5tf5,109,0
6c8r,110,0
6o56,111,0
5ehi,112,0
5dk5,113,0
1eu3,114,0
2cfa,115,0
5tic,116,0
6qbr,117,0
6hx9,118,0
4q3k,119,0
6lfa,120,0
2qy6,121,0
2gt1,122,0
3zpx,123,0
1noc,124,0
3w0k,125,0
4qv2,126,0
3g8r,127,0
2ga9,128,0
3axd,129,0
1ryh,130,0
4mzt,131,0
4cv2,132,0
2po3,133,0
3ezs,134,0
5j4s,135,0
1gl0,135,0
6xj7,136,0
1ow3,137,0
6mm8,138,0
3nje,139,0
1u0t,140,0
1mw5,141,0
2ygm,142,0
6lhd,143,0
4ewl,144,0
3tla,145,0
1zbo,146,0
3qtg,147,0
4k1x,148,0
1qvb,149,0
6ne4,150,0
6ne2,150,0
2vsv,151,0
2hi1,152,0
2epg,153,0
3b5i,154,0
4rpt,155,0
2co3,156,0
5hph,157,0
3s2r,158,0
1wr8,159,0
5kd6,160,0
5bu9,161,0
5cm2,162,0
1bpl,163,0
2qk4,164,0
6ojr,165,0
6j66,166,0
6gbs,167,0
6m4b,168,0
2zg6,169,0
2wnh,170,0
3wx7,171,0
1tzb,172,0
3zk9,173,0
6d9n,174,0
2wtn,175,0
6swt,176,0
5x03,177,0
6bb9,178,0
5ykr,179,0
4rgy,180,0
3rh0,181,0
3zyh,182,0
4xae,183,0
3bl9,184,0
1yc0,185,0
1sqe,186,0
5t86,187,0
1zl0,188,0
5jyb,189,0
5lua,190,0
3cbf,191,0
5c2j,192,0
4bi8,193,0
4mo1,194,0
3f75,195,0
1vh5,196,0
3oiy,197,0
4ri2,198,0
2jda,199,0
5y4f,200,0
4h8a,201,0
4la2,202,0
1p6x,203,0
3wra,204,0
4u4i,205,0
4zhv,206,0
3tcm,207,0
5w4z,208,0
1te0,209,0
2o2k,210,0
3evi,211,0
4kfs,212,0
4jf1,213,0
